,index,Participant ID,Song ID,Ornamentation,Grooviness,Familiarity,Liking,Consonance,Valence,Excitement,Vocal Range,Sound Quality,Tempo,Rhythmic Regularity,Vocal Tension,Vocal Texture
163,3,301,18,100.0,50.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0
164,4,301,19,100.0,50.0,50.0,0.0,50.0,0.0,100.0,100.0,50.0,50.0,100.0,50.0,100.0
165,0,302,15,50.0,0.0,100.0,100.0,50.0,100.0,50.0,50.0,0.0,100.0,50.0,50.0,50.0
166,1,302,16,100.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,50.0,0.0,50.0
167,2,302,17,0.0,0.0,50.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,50.0,0.0,100.0
168,3,302,18,100.0,0.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,50.0
169,4,302,19,100.0,0.0,100.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,100.0,50.0,100.0
170,0,303,15,100.0,50.0,100.0,100.0,50.0,100.0,0.0,0.0,50.0,50.0,100.0,100.0,50.0
171,1,303,16,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,100.0,50.0,0.0,0.0
172,2,303,17,0.0,0.0,100.0,50.0,50.0,100.0,100.0,100.0,0.0,100.0,100.0,50.0,100.0
173,3,303,18,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,100.0,50.0,0.0,50.0
174,4,303,19,100.0,50.0,100.0,50.0,50.0,100.0,50.0,50.0,0.0,50.0,100.0,100.0,50.0
175,0,304,15,50.0,0.0,100.0,100.0,50.0,100.0,100.0,50.0,50.0,100.0,100.0,100.0,50.0
176,1,304,16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
177,2,304,17,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,100.0
178,3,304,18,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0
179,4,304,19,100.0,0.0,50.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0,50.0,0.0,100.0
180,0,305,15,50.0,0.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,100.0,100.0,100.0,100.0
181,1,305,16,50.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,100.0
182,2,305,17,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,50.0,50.0,50.0,100.0
183,3,305,18,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0
184,4,305,19,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,100.0
185,0,306,15,50.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0
186,1,306,16,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,100.0,50.0,50.0,100.0
187,2,306,17,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0
188,3,306,18,100.0,0.0,50.0,0.0,50.0,50.0,100.0,0.0,0.0,50.0,50.0,0.0,50.0
189,4,306,19,100.0,0.0,50.0,50.0,100.0,100.0,50.0,50.0,0.0,50.0,100.0,100.0,0.0
190,0,307,15,0.0,50.0,50.0,100.0,50.0,50.0,0.0,50.0,0.0,100.0,50.0,50.0,0.0
191,1,307,16,50.0,50.0,50.0,0.0,100.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,100.0
192,2,307,17,0.0,0.0,100.0,100.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0
193,3,307,18,100.0,0.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0
194,4,307,19,50.0,0.0,100.0,50.0,100.0,100.0,50.0,50.0,0.0,0.0,100.0,100.0,100.0
195,0,308,15,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0
196,1,308,16,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
197,2,308,17,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
198,3,308,18,50.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,0.0,50.0
199,4,308,19,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
200,0,309,15,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0
201,1,309,16,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
202,2,309,17,0.0,50.0,50.0,50.0,50.0,100.0,100.0,50.0,100.0,50.0,50.0,50.0,100.0
203,3,309,18,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
204,4,309,19,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
205,0,310,15,50.0,0.0,100.0,100.0,100.0,100.0,50.0,50.0,0.0,100.0,100.0,100.0,100.0
206,1,310,16,100.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0
207,2,310,17,0.0,0.0,0.0,50.0,0.0,50.0,100.0,100.0,0.0,0.0,50.0,50.0,100.0
208,3,310,18,100.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0
209,4,310,19,100.0,0.0,50.0,50.0,50.0,50.0,100.0,100.0,0.0,50.0,50.0,50.0,100.0
210,0,400,20,50.0,0.0,50.0,0.0,100.0,50.0,50.0,0.0,50.0,100.0,50.0,0.0,50.0
211,1,400,21,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0,100.0,100.0,50.0,0.0
212,2,400,22,0.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0
213,3,400,23,100.0,0.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,100.0
214,4,400,24,100.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,100.0,50.0,50.0,50.0
215,0,401,20,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0
216,1,401,21,0.0,0.0,0.0,50.0,0.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,100.0
217,2,401,22,0.0,0.0,50.0,50.0,50.0,0.0,100.0,50.0,50.0,50.0,50.0,0.0,50.0
218,3,401,23,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0
219,4,401,24,50.0,0.0,50.0,100.0,50.0,50.0,50.0,0.0,50.0,100.0,50.0,50.0,100.0
220,0,402,20,0.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0
221,1,402,21,0.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,50.0
222,2,402,22,50.0,50.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0
223,3,402,23,50.0,0.0,0.0,50.0,100.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0
224,4,402,24,50.0,50.0,50.0,50.0,100.0,50.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0
